order_id,customer,product,region,price,quantity,order_date,revenue
87,C1233,Phone,Asia,1212,4,4/21/2024,4848
88,C374,Laptop,America,1285,5,12/18/2023,6425
89,C1842,Camera,Africa,372,4,10/15/2023,1488
90,C34,Tablet,Africa,663,5,7/11/2023,3315
91,C516,Headphone,Asia,1830,2,1/21/2024,3660
92,C13,Headphone,America,1389,2,10/24/2024,2778
93,C69,Camera,Africa,920,4,12/16/2023,3680
94,C1919,Camera,Asia,1647,1,3/29/2024,1647
95,C755,Tablet,Africa,1918,4,10/31/2023,7672
96,C409,Laptop,Europe,1192,1,8/30/2023,1192
97,C1332,Phone,Europe,1996,1,8/19/2023,1996
98,C1302,Phone,America,176,1,10/19/2023,176
99,C1113,Tablet,America,133,3,4/12/2024,399
100,C928,Laptop,Europe,1345,4,8/21/2023,5380
101,C1006,Phone,Europe,1204,5,10/1/2023,6020
102,C537,Phone,Asia,994,3,3/28/2023,2982
103,C983,Camera,America,1142,2,6/22/2023,2284
104,C291,Tablet,Africa,1168,3,1/15/2023,3504
105,C1448,Laptop,Europe,536,1,9/22/2023,536
106,C1904,Phone,Asia,1460,4,8/12/2024,5840
107,C1310,Tablet,Asia,1560,4,7/17/2024,6240
108,C1932,Laptop,Asia,849,4,1/14/2023,3396
109,C671,Tablet,Europe,216,2,1/23/2023,432
110,C121,Laptop,Africa,1781,3,11/27/2024,5343
111,C1134,Tablet,Asia,1613,3,1/22/2023,4839
112,C1182,Phone,Asia,1802,5,1/26/2023,9010
113,C1088,Tablet,Africa,1839,5,6/17/2023,9195
114,C1507,Laptop,Asia,1880,2,7/8/2024,3760
115,C1934,Phone,Asia,533,1,1/4/2023,533
116,C1501,Tablet,Africa,1372,5,3/22/2024,6860
117,C480,Headphone,Africa,1189,1,5/1/2023,1189
118,C1735,Laptop,Asia,733,4,5/21/2024,2932
119,C67,Camera,Asia,429,4,11/12/2023,1716
120,C1687,Tablet,Africa,1084,2,10/4/2023,2168
121,C1014,Camera,America,331,1,5/5/2024,331
122,C1914,Camera,Africa,1309,5,8/31/2023,6545
123,C1871,Phone,Europe,172,4,3/31/2023,688
124,C1109,Headphone,America,899,3,10/27/2023,2697
125,C165,Camera,Europe,1812,5,5/19/2023,9060
126,C1672,Laptop,Africa,980,5,9/2/2024,4900
127,C1075,Phone,America,1980,1,2/21/2024,1980
128,C1098,Laptop,Asia,864,4,1/7/2023,3456
129,C1202,Tablet,Asia,1879,2,2/17/2024,3758
130,C1386,Camera,America,185,1,9/25/2023,185
131,C236,Headphone,Asia,956,3,2/3/2023,2868
132,C610,Laptop,Africa,997,3,9/16/2023,2991
133,C330,Phone,Europe,541,2,9/16/2023,1082
134,C726,Headphone,Asia,1778,3,3/28/2023,5334
135,C127,Tablet,Africa,1120,5,7/12/2023,5600
136,C1996,Camera,Europe,1926,3,2/24/2023,5778
137,C212,Laptop,America,433,5,8/3/2024,2165
138,C686,Phone,America,186,5,12/2/2023,930
139,C1809,Camera,Europe,1136,3,8/30/2023,3408
140,C1982,Headphone,America,289,4,12/17/2024,1156
141,C814,Tablet,Africa,214,1,10/4/2024,214
142,C1334,Tablet,Europe,426,5,7/6/2023,2130
143,C931,Headphone,America,494,4,5/7/2023,1976
144,C1768,Headphone,Africa,1109,5,3/20/2023,5545
145,C878,Camera,America,641,3,12/24/2024,1923
146,C243,Phone,America,1112,5,7/18/2023,5560
147,C1886,Headphone,America,1574,2,12/28/2024,3148
148,C847,Phone,Asia,714,5,3/21/2023,3570
149,C1816,Phone,Asia,148,3,5/2/2023,444
150,C1137,Laptop,Europe,430,2,9/10/2023,860
151,C983,Laptop,Europe,1231,5,8/10/2024,6155
152,C619,Headphone,Africa,1202,4,6/8/2024,4808
153,C1927,Headphone,Africa,516,4,9/8/2023,2064
154,C477,Phone,Africa,1518,3,10/9/2024,4554
155,C1999,Camera,America,330,4,8/20/2024,1320
156,C151,Camera,Africa,1555,5,1/4/2023,7775
157,C666,Camera,Africa,729,3,3/26/2023,2187
158,C1638,Camera,America,188,2,4/7/2024,376
159,C767,Headphone,Africa,1665,4,9/12/2023,6660
160,C160,Camera,America,661,1,4/4/2023,661
161,C1415,Phone,Africa,617,1,6/18/2024,617
162,C155,Camera,Africa,755,2,4/30/2024,1510
163,C426,Camera,America,1883,4,3/1/2024,7532
164,C1029,Phone,Europe,233,2,11/15/2024,466
165,C326,Tablet,America,1392,5,4/1/2023,6960
166,C1808,Camera,America,1112,1,11/25/2023,1112
167,C1304,Laptop,Europe,1578,2,4/1/2023,3156
168,C1824,Laptop,Europe,333,5,12/20/2024,1665
169,C789,Laptop,Africa,1163,5,12/5/2024,5815
170,C1591,Laptop,Africa,1465,4,1/2/2024,5860
171,C1867,Phone,Europe,1063,5,8/8/2023,5315
172,C1956,Tablet,America,341,5,11/7/2024,1705
173,C1262,Camera,America,127,3,9/14/2023,381
174,C1788,Camera,America,1191,1,4/14/2023,1191
175,C1363,Tablet,Asia,731,5,6/13/2024,3655
176,C985,Phone,Europe,1596,5,1/26/2024,7980
177,C39,Headphone,America,1762,2,5/6/2024,3524
178,C822,Headphone,Africa,1081,1,7/25/2023,1081
179,C986,Tablet,Europe,674,4,6/13/2023,2696
180,C137,Laptop,America,1465,2,9/27/2023,2930
181,C455,Laptop,Asia,1661,5,6/17/2024,8305
182,C1762,Headphone,America,132,2,8/21/2023,264
183,C1584,Laptop,Europe,452,3,3/28/2024,1356
184,C589,Camera,America,966,3,4/24/2024,2898
185,C1107,Tablet,Asia,143,5,8/14/2024,715
186,C1720,Headphone,Africa,1661,5,4/28/2024,8305
187,C1903,Camera,America,461,2,3/27/2024,922
188,C39,Tablet,Europe,138,4,7/4/2023,552
189,C196,Laptop,Europe,1562,2,2/21/2024,3124
190,C1793,Phone,Europe,1535,5,10/3/2024,7675
191,C680,Laptop,Europe,1659,5,4/30/2024,8295
192,C1310,Phone,America,1829,5,8/14/2024,9145
193,C1630,Tablet,America,964,3,11/26/2024,2892
194,C500,Headphone,Africa,1941,5,8/13/2024,9705
195,C985,Laptop,Europe,1667,4,10/21/2023,6668
196,C1808,Headphone,Africa,120,2,10/23/2024,240
197,C344,Camera,Asia,454,4,3/21/2024,1816
198,C1334,Laptop,America,1725,5,3/17/2023,8625
199,C459,Headphone,Europe,633,2,8/18/2024,1266
200,C944,Phone,America,1416,1,10/20/2024,1416
201,C1044,Laptop,Asia,1606,1,1/20/2024,1606
202,C872,Camera,Africa,1552,5,2/12/2023,7760
203,C195,Tablet,Europe,664,4,5/27/2023,2656
204,C1885,Laptop,Europe,1714,3,11/12/2024,5142
205,C1188,Tablet,Asia,170,2,8/2/2023,340
206,C1076,Laptop,Africa,798,1,11/10/2023,798
207,C876,Headphone,Asia,1838,1,2/27/2024,1838
208,C534,Camera,Europe,1910,3,3/10/2024,5730
209,C177,Laptop,America,1428,5,7/6/2023,7140
210,C554,Laptop,Africa,625,4,6/12/2023,2500
211,C827,Phone,Asia,1775,4,1/12/2023,7100
212,C84,Phone,Europe,190,3,5/18/2024,570
213,C1547,Headphone,Europe,1532,3,3/12/2024,4596
214,C633,Tablet,Europe,279,4,1/9/2024,1116
215,C1975,Phone,Africa,1493,5,1/8/2023,7465
216,C1416,Tablet,America,391,4,1/29/2023,1564
217,C1326,Laptop,Asia,1745,4,7/29/2024,6980
218,C597,Headphone,Asia,204,4,4/12/2023,816
219,C1901,Phone,Africa,1796,3,4/9/2023,5388
220,C706,Tablet,Africa,308,3,9/30/2024,924
221,C619,Camera,Asia,1666,1,8/14/2023,1666
222,C1613,Laptop,America,1276,3,4/28/2024,3828
223,C1454,Camera,Europe,1997,4,4/14/2023,7988
224,C710,Camera,Africa,1040,4,7/23/2024,4160
225,C1785,Laptop,Europe,650,1,10/16/2023,650
226,C712,Phone,Europe,358,3,10/10/2023,1074
227,C1452,Tablet,Europe,684,3,9/27/2023,2052
228,C672,Laptop,America,1983,5,11/29/2023,9915
229,C1274,Phone,Asia,1087,1,10/3/2024,1087
230,C1828,Headphone,Africa,1709,1,11/26/2023,1709
231,C1453,Camera,America,730,3,9/20/2024,2190
232,C1021,Laptop,America,846,2,4/27/2024,1692
233,C398,Laptop,America,1514,5,8/21/2023,7570
234,C1013,Tablet,America,444,5,1/22/2023,2220
235,C528,Tablet,America,1400,5,8/20/2023,7000
236,C381,Phone,Europe,752,1,4/8/2023,752
237,C1569,Phone,Africa,1736,5,7/11/2024,8680
238,C40,Phone,Africa,932,5,11/10/2024,4660
239,C1960,Tablet,Europe,1545,1,6/22/2024,1545
240,C522,Camera,Europe,440,2,10/23/2023,880
241,C473,Phone,America,163,4,3/20/2024,652
242,C200,Camera,Europe,1855,4,5/15/2023,7420
243,C1149,Camera,Asia,805,4,10/8/2023,3220
244,C265,Phone,Europe,524,5,2/11/2024,2620
245,C775,Headphone,Asia,1381,1,5/3/2023,1381
246,C1927,Tablet,Europe,1203,3,2/1/2023,3609
247,C186,Headphone,Asia,1478,4,12/20/2024,5912
248,C1597,Camera,Asia,294,2,2/14/2024,588
249,C1276,Headphone,America,1825,5,10/4/2024,9125
250,C458,Camera,America,441,2,1/11/2024,882
251,C1176,Phone,Asia,1545,5,7/4/2023,7725
252,C831,Tablet,Europe,1420,2,10/11/2023,2840
253,C1078,Tablet,Europe,1824,4,1/24/2023,7296
254,C919,Laptop,Africa,1572,4,8/30/2023,6288
255,C1562,Phone,Europe,1311,4,5/2/2024,5244
256,C235,Phone,America,107,1,10/6/2023,107
257,C1313,Camera,Africa,1509,4,4/29/2023,6036
258,C185,Tablet,Africa,1668,2,5/24/2023,3336
259,C1789,Tablet,Europe,1443,3,7/10/2023,4329
260,C413,Laptop,Europe,380,5,11/25/2024,1900
261,C627,Phone,America,486,2,8/6/2023,972
262,C522,Laptop,Asia,917,2,10/10/2023,1834
263,C1333,Camera,America,1251,5,3/23/2023,6255
264,C1078,Laptop,Africa,1432,5,12/5/2023,7160
265,C205,Phone,Asia,462,3,8/2/2023,1386
266,C1899,Tablet,Europe,753,5,5/3/2024,3765
267,C779,Camera,Asia,1506,4,2/11/2024,6024
268,C1561,Camera,Asia,1486,1,12/22/2023,1486
269,C564,Camera,Europe,1254,5,10/25/2023,6270
270,C794,Phone,America,1612,2,8/28/2024,3224
271,C1415,Headphone,Asia,1230,3,2/8/2023,3690
272,C409,Laptop,Asia,162,5,5/25/2023,810
273,C1751,Laptop,America,210,2,10/26/2023,420
274,C1370,Laptop,Europe,1758,1,8/4/2023,1758
275,C160,Laptop,America,1018,3,11/4/2024,3054
276,C468,Tablet,Europe,132,2,3/15/2024,264
277,C1533,Headphone,Africa,1929,1,12/22/2024,1929
278,C920,Phone,Asia,950,3,11/19/2024,2850
279,C1081,Tablet,America,515,1,11/3/2023,515
280,C457,Camera,Asia,414,3,12/31/2023,1242
281,C617,Tablet,America,641,3,2/20/2023,1923
282,C357,Phone,Africa,1643,4,9/27/2024,6572
283,C279,Headphone,Africa,1899,1,4/6/2024,1899
284,C270,Headphone,Asia,229,5,1/30/2024,1145
285,C878,Tablet,Asia,602,4,10/12/2024,2408
286,C646,Camera,America,1484,3,6/13/2023,4452
287,C347,Camera,Europe,1596,1,4/18/2024,1596
288,C1153,Laptop,Europe,641,3,9/26/2024,1923
289,C218,Headphone,Europe,1351,5,10/13/2024,6755
290,C618,Headphone,Asia,1512,4,11/24/2023,6048
291,C1905,Camera,Europe,1927,1,2/21/2024,1927
292,C698,Phone,America,1076,1,9/12/2023,1076
293,C337,Tablet,Asia,171,3,6/5/2023,513
294,C797,Tablet,Asia,1169,1,12/18/2024,1169
295,C26,Tablet,Africa,1286,3,3/10/2024,3858
296,C539,Tablet,America,1353,2,4/5/2023,2706
297,C981,Laptop,Africa,1868,2,6/17/2023,3736
298,C1543,Camera,Asia,199,2,3/27/2024,398
299,C956,Headphone,Asia,1679,5,2/27/2023,8395
300,C1781,Phone,Europe,121,1,2/12/2024,121
301,C1690,Camera,America,1444,3,1/16/2023,4332
302,C1577,Headphone,America,1379,2,10/26/2023,2758
303,C724,Tablet,Asia,419,1,5/6/2024,419
304,C1414,Headphone,America,1561,2,4/21/2023,3122
305,C1522,Headphone,Africa,500,3,1/5/2024,1500
306,C1246,Tablet,Europe,1780,1,3/3/2023,1780
307,C671,Headphone,America,1313,1,7/26/2023,1313
308,C861,Phone,Asia,1913,4,3/21/2024,7652
309,C657,Laptop,America,1378,4,12/22/2024,5512
310,C960,Laptop,Europe,1586,1,4/8/2023,1586
311,C1445,Phone,America,1783,2,10/18/2023,3566
312,C1081,Camera,America,1558,3,5/3/2024,4674
313,C660,Laptop,Europe,835,3,6/17/2024,2505
314,C163,Phone,Europe,1419,2,9/6/2024,2838
315,C238,Tablet,Africa,983,1,4/15/2023,983
316,C1697,Headphone,America,1131,2,1/12/2024,2262
317,C578,Tablet,America,1153,5,12/7/2023,5765
318,C1540,Camera,Europe,1697,1,8/22/2024,1697
319,C330,Laptop,Europe,276,5,4/2/2024,1380
320,C1249,Tablet,Asia,793,3,10/10/2024,2379
321,C1413,Camera,Asia,1758,2,8/23/2023,3516
322,C117,Tablet,America,648,2,9/12/2023,1296
323,C1561,Laptop,Asia,1762,5,3/24/2024,8810
324,C648,Camera,Asia,1524,4,6/21/2023,6096
325,C1079,Camera,Asia,141,2,4/29/2024,282
326,C1241,Headphone,Africa,1296,3,3/24/2024,3888
327,C597,Headphone,America,1284,4,4/2/2024,5136
328,C557,Tablet,Asia,661,4,6/3/2024,2644
329,C1682,Laptop,America,1262,4,12/6/2023,5048
330,C1706,Phone,Asia,759,4,3/2/2024,3036
331,C415,Camera,Europe,1733,1,3/26/2024,1733
332,C1158,Phone,America,372,5,6/21/2024,1860
333,C1735,Laptop,Africa,1597,2,11/28/2023,3194
334,C957,Phone,Europe,388,4,3/2/2023,1552
335,C873,Camera,America,1102,3,5/25/2023,3306
336,C688,Phone,Europe,894,3,9/30/2024,2682
337,C1937,Phone,Europe,1478,5,10/24/2024,7390
338,C757,Camera,America,577,5,2/15/2023,2885
339,C1965,Tablet,Asia,1164,5,8/9/2023,5820
340,C988,Camera,America,1890,3,7/27/2023,5670
341,C447,Phone,Europe,233,1,1/1/2024,233
342,C1845,Camera,Africa,1664,3,2/8/2023,4992
343,C1128,Camera,Africa,794,1,2/23/2024,794
344,C821,Phone,Asia,798,5,4/21/2024,3990
345,C831,Camera,Africa,1778,1,12/14/2024,1778
346,C711,Phone,Europe,514,4,8/20/2023,2056
347,C1492,Headphone,Asia,1732,3,12/6/2023,5196
348,C1234,Phone,Europe,609,1,3/26/2024,609
349,C349,Tablet,Europe,586,4,7/1/2023,2344
350,C1425,Tablet,America,1653,5,6/4/2023,8265
351,C1761,Headphone,America,578,5,4/12/2023,2890
352,C1282,Camera,America,595,1,3/21/2023,595
353,C177,Headphone,Europe,1681,3,5/15/2024,5043
354,C386,Laptop,America,1363,2,2/16/2024,2726
355,C1165,Camera,Asia,1706,4,10/20/2023,6824
356,C24,Phone,Asia,1524,3,7/8/2024,4572
357,C945,Laptop,Europe,1090,4,4/27/2024,4360
358,C1023,Laptop,Asia,1609,5,9/9/2023,8045
359,C1987,Camera,Europe,1961,2,5/29/2023,3922
360,C1490,Phone,Europe,379,4,4/10/2023,1516
361,C1154,Camera,Africa,1002,2,12/9/2023,2004
362,C165,Camera,Asia,1826,1,2/5/2024,1826
363,C1727,Laptop,Europe,1888,1,5/27/2024,1888
364,C1612,Camera,Europe,468,4,12/26/2024,1872
365,C1401,Camera,Asia,950,1,2/12/2024,950
366,C1805,Camera,Asia,841,3,12/13/2024,2523
367,C170,Camera,Africa,1707,5,8/18/2023,8535
368,C1469,Phone,Asia,389,4,9/17/2023,1556
369,C710,Camera,Africa,1575,2,6/18/2024,3150
370,C1898,Laptop,Africa,833,2,7/30/2024,1666
371,C1258,Tablet,Asia,1256,3,12/24/2024,3768
372,C422,Camera,Europe,1368,4,1/12/2023,5472
373,C508,Phone,Asia,1386,3,2/7/2024,4158
374,C1904,Camera,Europe,1119,2,5/11/2023,2238
375,C64,Phone,America,1479,3,11/20/2024,4437
376,C80,Tablet,Africa,1636,1,5/11/2024,1636
377,C1507,Headphone,Africa,1113,3,3/29/2024,3339
378,C548,Tablet,Africa,1612,1,4/13/2024,1612
379,C987,Phone,Europe,233,2,8/20/2023,466
380,C475,Phone,Europe,749,1,10/23/2024,749
381,C291,Laptop,America,412,3,1/29/2023,1236
382,C765,Tablet,Asia,1341,1,1/5/2023,1341
383,C1367,Phone,Africa,1404,3,8/13/2023,4212
384,C1347,Laptop,Africa,1368,1,8/9/2024,1368
385,C479,Tablet,Europe,1321,2,1/10/2024,2642
386,C1584,Camera,Africa,402,2,7/5/2024,804
387,C1474,Headphone,Africa,674,4,12/18/2024,2696
388,C1135,Phone,Europe,1078,3,2/25/2023,3234
389,C791,Laptop,America,1346,4,6/24/2024,5384
390,C1987,Phone,America,337,2,1/21/2023,674
391,C905,Laptop,Asia,1603,3,3/26/2023,4809
392,C1341,Laptop,Asia,715,3,8/8/2023,2145
393,C807,Phone,Africa,238,4,4/4/2023,952
394,C1246,Laptop,America,858,3,10/17/2024,2574
395,C1311,Headphone,Europe,831,5,8/16/2023,4155
396,C1758,Phone,Africa,912,1,3/1/2023,912
397,C1609,Laptop,Asia,166,5,1/15/2024,830
398,C292,Camera,America,1884,5,12/13/2023,9420
399,C1250,Phone,America,1844,3,7/28/2023,5532
400,C1814,Tablet,Europe,236,2,7/20/2024,472
401,C1914,Headphone,Asia,305,4,1/17/2024,1220
402,C1708,Laptop,Asia,1876,5,4/9/2024,9380
403,C297,Phone,Asia,1562,2,11/19/2023,3124
404,C860,Tablet,Asia,1069,5,5/10/2023,5345
405,C605,Phone,Europe,1225,3,5/21/2023,3675
406,C637,Tablet,America,1212,4,10/20/2023,4848
407,C1835,Tablet,Asia,1396,1,10/19/2023,1396
408,C1063,Camera,Europe,391,3,4/7/2023,1173
409,C1261,Camera,America,1792,2,8/14/2024,3584
410,C165,Phone,Asia,1945,2,9/30/2024,3890
411,C619,Phone,America,465,2,12/7/2024,930
412,C1057,Tablet,America,1023,2,10/26/2024,2046
413,C83,Headphone,Asia,1905,3,11/4/2023,5715
414,C1420,Tablet,Asia,207,3,3/16/2023,621
415,C866,Phone,Europe,1226,4,9/18/2023,4904
416,C277,Laptop,America,650,3,7/30/2024,1950
417,C1233,Tablet,Europe,1105,1,4/28/2023,1105
418,C1023,Camera,Asia,1858,3,12/11/2024,5574
419,C76,Headphone,Europe,694,4,9/11/2023,2776
420,C1118,Camera,America,191,4,8/24/2023,764
421,C1827,Phone,America,268,1,11/1/2024,268
422,C1054,Laptop,America,872,5,4/19/2024,4360
423,C1241,Laptop,Africa,1089,4,1/16/2024,4356
424,C946,Phone,America,1524,4,6/12/2024,6096
425,C1199,Laptop,America,1651,1,6/28/2024,1651
426,C374,Laptop,America,1804,4,5/3/2023,7216
427,C323,Headphone,America,584,3,12/20/2023,1752
428,C115,Tablet,America,520,2,3/25/2023,1040
429,C1401,Laptop,Asia,1161,1,7/1/2024,1161
430,C850,Phone,Africa,1915,3,8/3/2024,5745
431,C608,Phone,Africa,945,4,7/16/2024,3780
432,C1489,Phone,Asia,799,2,10/12/2024,1598
433,C1382,Laptop,Europe,124,3,3/30/2024,372
434,C682,Camera,Asia,1789,1,1/31/2023,1789
435,C1448,Camera,Asia,1130,1,8/6/2024,1130
436,C938,Laptop,Asia,1061,1,7/22/2023,1061
437,C1120,Tablet,America,919,5,1/8/2024,4595
438,C1562,Camera,Europe,324,2,2/23/2024,648
439,C397,Laptop,Africa,244,4,6/2/2024,976
440,C1428,Camera,Asia,671,5,3/1/2023,3355
441,C1766,Headphone,Africa,1326,4,6/11/2023,5304
442,C1172,Camera,Asia,1257,2,10/19/2023,2514
443,C989,Tablet,Africa,1187,4,12/7/2023,4748
444,C1886,Phone,Africa,735,3,9/27/2023,2205
445,C1961,Tablet,Africa,409,1,10/10/2024,409
446,C392,Headphone,America,1230,4,5/18/2024,4920
447,C1959,Tablet,Europe,1898,2,12/12/2023,3796
448,C1738,Phone,Asia,1786,1,12/22/2023,1786
449,C593,Laptop,Europe,1233,2,6/28/2024,2466
450,C1471,Tablet,Africa,692,5,7/9/2024,3460
451,C1362,Headphone,America,1894,4,10/17/2024,7576
452,C744,Tablet,Asia,1378,2,3/30/2023,2756
453,C243,Headphone,America,622,4,3/20/2023,2488
454,C106,Laptop,Asia,546,2,11/29/2024,1092
455,C1911,Tablet,America,684,4,10/31/2023,2736
456,C11,Headphone,Europe,1538,3,8/24/2024,4614
457,C625,Phone,Europe,663,2,3/31/2024,1326
458,C1388,Laptop,Europe,766,3,7/14/2024,2298
459,C386,Headphone,Africa,640,1,10/31/2023,640
460,C403,Laptop,Asia,312,3,3/3/2023,936
461,C461,Phone,Europe,1018,2,1/21/2024,2036
462,C141,Tablet,Europe,1116,1,12/20/2023,1116
463,C31,Laptop,Asia,1964,5,5/2/2024,9820
464,C1950,Phone,Europe,138,2,1/7/2023,276
465,C1139,Camera,Asia,1760,4,7/14/2023,7040
466,C1814,Camera,Europe,360,3,6/13/2023,1080
467,C94,Tablet,Africa,1912,4,8/15/2024,7648
468,C1738,Phone,Asia,1160,1,7/29/2023,1160
469,C16,Tablet,America,1668,3,9/12/2024,5004
470,C1733,Headphone,Europe,1640,2,8/5/2023,3280
471,C1444,Camera,Asia,780,1,6/8/2024,780
472,C178,Phone,Europe,918,1,4/16/2023,918
473,C1441,Camera,America,1047,3,7/23/2023,3141
474,C1488,Tablet,Europe,1791,3,11/25/2024,5373
475,C1436,Laptop,Asia,1482,5,5/4/2023,7410
476,C177,Laptop,America,1134,4,9/1/2024,4536
477,C524,Phone,Europe,917,3,3/18/2023,2751
478,C1461,Tablet,Europe,1416,5,10/9/2024,7080
479,C924,Laptop,Africa,834,1,8/26/2024,834
480,C1602,Laptop,Africa,1438,4,7/16/2024,5752
481,C1586,Laptop,America,1853,5,2/10/2024,9265
482,C204,Headphone,Africa,1192,2,2/15/2023,2384
483,C1199,Camera,America,509,1,12/12/2024,509
484,C1971,Laptop,Africa,1789,4,5/30/2023,7156
485,C373,Camera,America,1336,1,6/15/2024,1336
486,C646,Camera,Africa,1415,2,8/9/2024,2830
487,C1488,Camera,Africa,337,4,2/28/2023,1348
488,C384,Tablet,Asia,1401,3,8/8/2023,4203
489,C1146,Phone,Asia,683,1,9/25/2023,683
490,C1423,Headphone,Africa,1153,2,11/15/2023,2306
491,C1427,Camera,Asia,576,2,10/6/2024,1152
492,C315,Headphone,Africa,938,4,9/19/2023,3752
493,C259,Phone,Africa,1367,1,4/26/2024,1367
494,C494,Phone,America,1896,4,2/2/2023,7584
495,C1889,Tablet,Asia,1917,5,1/5/2024,9585
496,C1784,Headphone,Africa,1383,2,9/25/2023,2766
497,C1313,Camera,Africa,1440,3,2/3/2023,4320
498,C1072,Laptop,Africa,447,1,3/23/2023,447
499,C1355,Laptop,America,1120,5,8/17/2024,5600
